Price,Close,High,Low,Open,Volume
Ticker,APA,APA,APA,APA,APA
Date,,,,,
2015-03-11,46.63447189331055,46.86322117427227,45.620349014521764,45.89484640645288,3452500
2015-03-12,45.87959671020508,46.9318469078369,45.80334791838312,46.91659656773152,3322300
2015-03-13,45.261966705322266,45.38396649797659,44.37746748140228,45.33821548496703,3565500
2015-03-16,45.6203498840332,51.08747031065138,43.897099256620024,44.79684896642939,3817700
2015-03-17,45.05609130859375,45.56696452908178,44.72059260746898,45.38396629526989,2412500
2015-03-18,46.893714904785156,47.22158989210034,44.36221703205246,44.72059269463057,3217300
2015-03-19,45.65846252441406,46.230337044829604,45.27721284413703,45.82621040581708,2816200
2015-03-20,45.40685272216797,46.66497828449894,45.40685272216797,45.87197796531706,6723800
2015-03-23,44.74346160888672,46.08545917060589,44.7358349865945,45.422085557686444,3309100
2015-03-24,45.010345458984375,45.17809628314192,44.38509608911238,44.91884633158245,3564600
2015-03-25,45.6203498840332,45.948222017481044,44.89597472326058,45.47547310665569,3069100
2015-03-26,45.60508728027344,46.8174613660363,45.42971277839632,46.497210125740196,3517100
2015-03-27,45.30009078979492,45.788089957122814,44.895967024733594,45.21621538752835,3373800
2015-03-30,46.38283920288086,46.64971282539857,45.72708926331811,45.9787125490199,3159900
2015-03-31,46.00160217285156,46.37522534723493,45.5593510095511,45.6432264307774,2740800
2015-04-01,46.2303466796875,46.97759585972003,46.16172160658733,46.459095953786466,2448600
2015-04-02,46.84796905517578,46.962345145665296,45.856720269517616,45.92534534207036,2275900
2015-04-06,49.440467834472656,49.56247055434779,46.96997093109993,47.16059581784742,4577500
2015-04-07,49.897972106933594,50.767221123199015,49.06684457748796,49.37947218342353,4024600
2015-04-08,49.75310134887695,50.774848070811,49.455726955632834,50.309728643935,4311200
2015-04-09,50.6833381652832,51.0874619333737,49.875090629102196,49.920838733441805,3848900
2015-04-10,51.72795867919922,51.979584887960115,50.79008763550348,50.934964389167455,3526000
2015-04-13,51.47632598876953,52.06344785152345,51.10269716779125,51.87282303905161,3271100
2015-04-14,53.2300910949707,53.33684056531658,51.83472135618969,51.84996878734918,3333900
2015-04-15,54.44245910644531,54.80083476038469,53.374958767611325,53.44358092224201,4533400
2015-04-16,53.992584228515625,54.724583002908986,53.62658775002351,54.0307115280044,3321300
2015-04-17,53.664710998535156,54.00021262937061,53.13859031620877,53.54271410749184,2799900
2015-04-20,54.077945709228516,54.77429677629809,53.76420941698823,53.871339452206776,2366100
2015-04-21,52.31794357299805,54.177423077771216,52.20315973430369,54.07794102643345,2401600
2015-04-22,51.88175964355469,52.80001849959299,51.338449967800734,52.66993289864792,3090900
2015-04-23,52.3026237487793,52.98366697120234,52.07306196308059,52.134274936378596,2252800
2015-04-24,50.74923324584961,52.03479910430539,50.366624428906185,51.95062469752607,2972100
2015-04-27,51.055328369140625,51.51445784391243,50.8487163106971,51.23132517936494,2544700
2015-04-28,51.108890533447266,51.49915319245507,50.665062869332324,51.032369931601025,2272900
2015-04-29,52.46332931518555,52.64698578650556,50.98645876100692,51.06298520979777,5288000
2015-04-30,52.34088134765625,52.98366128439886,51.46088000156157,52.73114393104802,2921300
2015-05-01,52.402095794677734,52.70817811730277,51.36139955094359,52.37148639478602,2764800
2015-05-04,52.455665588378906,52.93009673477958,51.93531741886294,52.417402375473934,3206400
2015-05-05,51.9889030456543,53.672379994916106,51.63690353219588,52.998990382841164,6024900
2015-05-06,51.529747009277344,52.89948712421107,51.16244585467802,52.340881582131836,4411600
2015-05-07,49.80037307739258,50.67272085420843,49.08872032913247,50.65741322968988,4798600
2015-05-08,50.15237045288086,50.3972398916274,49.02749946177558,50.305411662791975,3391100
2015-05-11,48.30818557739258,50.0834871712423,48.300531767080265,50.0834871712423,4614800
2015-05-12,48.69844436645508,49.058097548700395,48.407660880404116,48.583663485513355,3657500
2015-05-13,47.979148864746094,49.195845086240794,47.64245121912883,49.11167067483648,3599400
2015-05-14,47.92558670043945,48.62958560285175,47.764888760476694,48.155151433005464,2777700
2015-05-15,48.53010940551758,48.90506739592202,47.5200221861137,47.70367573467537,3334400
2015-05-18,48.80558395385742,48.89741217955667,48.1321944798395,48.42297510399884,2398600
2015-05-19,47.57359313964844,48.45359484969298,47.46646310588465,48.269944197262056,2475100
