Price,Close,High,Low,Open,Volume
Ticker,OXY,OXY,OXY,OXY,OXY
Date,,,,,
2015-03-11,53.569053649902344,53.86481509858123,53.06409588576772,53.107372939378834,3463688
2015-03-12,53.799903869628906,54.138947947084695,53.54741942826693,53.89368002464806,4276069
2015-03-13,52.54470443725586,53.35264015768975,52.227298952692394,53.23721998148485,6210257
2015-03-16,52.73946762084961,52.782750182324655,52.01088610551946,52.21286587940318,5451868
2015-03-17,52.19843673706055,52.833247618970354,52.068594569669536,52.652900861927975,3948212
2015-03-18,53.38870620727539,53.81431530658985,51.75840189969816,51.98203122450731,4188621
2015-03-19,51.844966888427734,52.753895166843186,51.722335720689074,52.523060351864515,5475709
2015-03-20,52.4581413269043,53.3021486414315,52.140741343108225,52.270583533342624,13430332
2015-03-23,52.55915069580078,53.215600425480055,52.54472316863198,52.739492028909616,3773916
2015-03-24,52.263370513916016,52.833254877423784,52.23451546986498,52.587987002989976,2866774
2015-03-25,53.179508209228516,53.554623770014814,52.450926639509305,52.6456954241867,4791546
2015-03-26,53.18670654296875,53.8864383433255,52.746670042063684,53.821511761963414,4960934
2015-03-27,52.4581413269043,53.114590847869835,52.335510141460425,52.688981688210966,3605129
2015-03-30,53.367061614990234,53.61232946155298,52.91259747932974,52.97752407756682,3913653
2015-03-31,52.660125732421875,53.1795110233798,52.43650189277336,52.660125732421875,4901232
2015-04-01,53.55462646484375,53.79989434385341,52.99916961299859,53.54019894254906,4435641
2015-04-02,53.778236389160156,53.93693909333847,52.91259078845938,53.12178705110398,5286587
2015-04-06,55.192138671875,55.552821194650456,53.74218103755726,54.06679751325523,7009416
2015-04-07,55.408546447753906,55.63217578832136,54.8386621029211,55.24984922367407,4489733
2015-04-08,55.25706481933594,55.69710150675741,55.17049968282673,55.56004279711817,5098367
2015-04-09,56.144351959228516,56.303054717297556,55.25706753588936,55.28592258281101,4107883
2015-04-10,56.591583251953125,56.64207680799453,55.98563301446224,56.35353196361729,3343885
2015-04-13,56.07942199707031,57.01720536081062,56.043355950618796,56.88014666609475,2659521
2015-04-14,57.20476150512695,57.40674679589661,56.432891900471425,56.51945702508699,4581188
2015-04-15,58.79897689819336,59.19573639575627,57.5221498373599,57.846771745638534,6778023
2015-04-16,58.698001861572266,58.964908240332775,57.96219829950284,58.55372665332335,5520184
2015-04-17,58.09204864501953,58.51765777232825,57.500525777132886,58.315677984537814,6590504
2015-04-20,57.97662353515625,58.74849311236439,57.89727493024688,58.156970294858915,3887709
2015-04-21,57.31297302246094,58.04877116970552,57.15427027221196,57.976633555955985,2987379
2015-04-22,57.413963317871094,57.66644219909911,56.80801290032378,57.47888441107242,3472103
2015-04-23,57.738563537597656,58.25073767328739,57.450018688799815,57.60150487224365,3431233
2015-04-24,57.543800354003906,57.70971407155155,57.13261880525584,57.4860902760744,3437844
2015-04-27,57.29853057861328,58.027117531252074,57.28410305962044,57.81070474635948,4679054
2015-04-28,57.493324279785156,57.57988943131021,56.85130767547675,57.14706918668655,2752279
2015-04-29,57.789085388183594,57.91171658378964,57.20477343170572,57.35625967486626,3936392
2015-04-30,57.78187561035156,58.17141879777941,57.27691773224309,57.99828849225592,3861765
2015-05-01,58.07039260864258,58.142530194315306,57.45722588692366,57.680849646009854,3357408
2015-05-04,57.73136901855469,58.207471738457585,57.28411583006971,58.135334127411625,2783131
